gammarus,inf_status,temp,blank_ref,blanks,dryweight_mg,saturation,volume_liter,change_percent,time_h,resprate
18IJ,I,18,18_18Blank_2,2.765979574,1.7,9.503,0.0064,0.04,0.44,0.024722107
09UC,U,9,09_blank_3,3.407731164,3.2,11.726,0.0072,0.05,0.44,0.025980545
18_2UE,U,18,18_2_18_2Blank2_1,2.449133617,1.5,9.503,0.0058,0.04,0.44,0.027095146
12IO,I,12,12_blank1_1,0.969161452,4.8,10.755,0.0084,0.05,0.44,0.029358778
18IK,I,18,18_18Blank_2,2.765979574,2.4,9.503,0.0066,0.06,0.44,0.030155894
12UE,U,12,12_blank1_1,0.969161452,4.3,10.755,0.007,0.06,0.44,0.030664874
18_2IL,I,18,18_2_18_2Blank2_1,2.449133617,4.4,9.503,0.0058,0.1,0.44,0.030666779
15IG,I,15,15blank1_2,2.943443858,2.6,10.211,0.0055,0.1,0.61,0.033830147
15UO,U,15,15blank1_2,2.943443858,2.7,10.211,0.0055,0.1,0.61,0.034493483
18_2UM,U,18,18_2_18_2Blank1_1,1.233130213,2.6,9.503,0.006,0.06,0.44,0.035710013
18UF,U,18,18_18Blank_2,2.765979574,3.3,9.503,0.0068,0.08,0.44,0.037221615
09UN,U,9,09_blank_1,1.85443975,4.5,11.726,0.0068,0.08,0.44,0.037428908
12UM,U,12,12_blank2_1,2.204842303,3.1,10.755,0.0075,0.06,0.44,0.038633345
12UH,U,12,12_blank3_1,1.085460826,3,10.755,0.0054,0.01,0.05,0.038959065
12UB,U,12,12_blank2_1,2.204842303,2.5,10.755,0.0062,0.06,0.44,0.039142008
18IM,I,18,18_18Blank_1,0.599438298,3.1,9.503,0.0062,0.07,0.44,0.041235122
15UA,U,15,15blank1_2,2.943443858,2.3,10.211,0.0055,0.11,0.61,0.04217953
18UN,U,18,18_18Blank_1,0.599438298,3.8,9.503,0.0066,0.09,0.44,0.04275012
15IC,I,15,15blank6_1,16.5869751,3.6,10.211,0.008,0.21,0.61,0.042868605
15IM,I,15,15blank1_2,2.943443858,1.8,10.211,0.0059,0.09,0.61,0.04407065
15UD,U,15,15blank2_2,10.47263945,1.7,10.211,0.0066,0.14,0.61,0.04485075
18_2UK,U,18,18_2_18_2Blank1_1,1.233130213,1.5,9.503,0.0054,0.06,0.44,0.049132532
18IN,I,18,18_18Blank_1,0.599438298,1.7,9.503,0.0062,0.05,0.44,0.051038047
15UM,U,15,15blank1_2,2.943443858,2.5,10.211,0.0059,0.13,0.61,0.052822065
18UA,U,18,18_18Blank_1,0.599438298,2.8,9.503,0.008,0.07,0.44,0.054620374
18IB,I,18,18_18Blank_1,0.599438298,3.7,9.503,0.0064,0.13,0.44,0.063335922
15IL,I,15,15blank2_2,10.47263945,2.1,10.211,0.005,0.25,0.61,0.068740583
