gammarus,sex,inf_status,temp,blank_ref,blanks,gam_dryweight_mg,saturation,volume_liter,change_percent,time_h,resp_rate,assimilation,filter_id,leaf_id,filter_dw_initial,filter_dw_final,poop_weight,efficiency,init_wet_gam,leaf_change,av_leafdecay,dryweight_mg,wet_gam,weight_change,days_inexpt,rate,feeding_rate
06IK,m,I,6,06_BLANK2_1,1.940741053,2.9,12.362,0.0066,0.02,0.44,0.011980231,0.140122458,6IK,027C,32.65,29.89,0.36,87.1071804,0.0135,2.76,0.06262,2.9,0.01,-0.0012,9,-0.000133333,0.174615558
06IL,f,I,6,06_BLANK3_1,1.169671089,2.6,12.362,0.0064,0.01,0.44,0.00524183,0.828299377,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0124,11.32,0.06262,2.6,0.01,-0.0006,9,-6.66667E-05,0.799457741
06IM,f,I,6,06_BLANK5_2,1.225369712,2.8,12.362,0.0054,0.02,0.44,0.010462141,0.829080478,6IM,049F,50.99,37.84,0.35,97.37684476,0.0153,13.15,0.06262,2.8,0.01,-0.0018,9,-0.0002,0.862158372
06IN,m,I,6,06_BLANK4_1,0.453948852,5,12.362,0.006,0.01,0.44,0.003892797,0.233364724,6IN,042A,34.62,28.02,0.14,97.93614474,0.0199,6.6,0.06262,5,0.03,0.0055,9,0.000611111,0.242257362
06IO,m,I,6,06_BLANK2_1,1.940741053,3.4,12.362,0.005,0.04,0.44,0.012706441,0.452236638,6IO,009C,44.42,34.94,0.86,90.87791495,0.0159,9.48,0.06262,3.4,0.02,0.0003,9,3.33333E-05,0.511612837
09IA,f,I,9,09_blank_3,3.407731164,3,11.726,0.007,0.03,0.44,0.010896815,0.190576184,27IA,038C,35.76,32.29,0.17,95.05527812,0.0143,3.46,0.06654,3,0.02,0.0014,8,0.000175,0.211953511
09IB,m,I,9,09_blank_2,3.698312891,4.5,11.726,0.0068,0.05,0.44,0.016510325,0.330868686,27IB,068C,38.8,29.99,0.29,96.72019443,0.0198,8.81,0.06654,4.5,0.02,0.003,8,0.000375,0.359158719
09IC,f,I,9,09_blank_2,3.698312891,2.6,11.726,0.0062,0.05,0.44,0.021683875,0.489256263,27IC,057C,44.81,37.58,0,100.0414674,0.0169,7.23,0.06654,2.6,0.02,0.0019,8,0.0002375,0.510728352
09IE,f,I,9,09_blank_3,3.407731164,4.1,11.726,0.0056,0.05,0.44,0.012159251,0.448694563,27IE,037D,40.09,29.4,0.4,96.2939058,0.0199,10.69,0.06654,4.1,0.02,0.0043,8,0.0005375,0.478590841
09IG,f,I,9,09_blank_1,1.85443975,4.1,11.726,0.0054,0.02,0.44,0.002446347,0.187658844,27IG,045A,45.73,41.05,0.44,90.61713115,0.0199,4.69,0.06654,4.1,0.02,0.002,8,0.00025,0.209789461
09IL,m,I,9,09_blank_4,1.901989487,3.4,11.726,0.0058,0.03,0.44,0.008609649,0.252286957,27IL,009D,38.01,32.3,0.88,84.58563052,0.0169,5.71,0.06654,3.4,0.02,0.002,8,0.00025,0.308440812
09IO,f,I,9,09_blank_3,3.407731164,1.9,11.726,0.007,0.02,0.44,0.007625163,0.597889182,27IO,057D,38.12,31.5,0.36,94.58990417,0.0101,6.63,0.06654,1.9,0.01,-0.0003,8,-0.0000375,0.640146906
12IA,f,I,12,12_blank3_1,1.085460826,2.8,10.755,0.006,0.03,0.44,0.013531484,0.709982456,21IA,041B,35.38,23.57,0.76,93.52523472,0.0141,11.8,0.08018,2.8,0.01,-0.0005,7,-7.14286E-05,0.773602913
12IC,m,I,12,12_blank4_1,1.707861654,2.6,10.755,0.0064,0.02,0.44,0.007536716,0.69247901,21IC,005B,43.54,33.06,0.56,94.65801155,0.0137,10.48,0.08018,2.6,0.01,-0.0019,7,-0.000271429,0.739520844
12IG,f,I,12,12_blank1_1,0.969161452,2.1,10.755,0.0062,0.03,0.44,0.02368821,0.579448143,21IG,066B,40.17,32.8,0.47,93.58268464,0.0114,7.37,0.08018,2.1,0.01,-0.0011,7,-0.000157143,0.644495672
12IL,m,I,12,12_blank3_1,1.085460826,4.4,10.755,0.0052,0.07,0.44,0.024315077,0.383774007,21IL,065D,46.87,35.87,1.21,88.97893473,0.0199,10.99,0.08018,4.4,0.02,0.0019,7,0.000271429,0.458635614
12IN,m,I,12,12_blank2_1,2.204842303,3.8,10.755,0.007,0.05,0.44,0.024478101,0.351282212,21IN,005C,43.28,34.43,1.07,87.91772617,0.0182,8.85,0.08018,3.8,0.02,0.0011,7,0.000157143,0.427399945
12IO,f,I,12,12_blank1_1,0.969161452,4.8,10.755,0.0084,0.05,0.44,0.029358778,0.258256073,21IO,017D,45.87,37.18,1.17,86.56546359,0.0185,8.69,0.08018,4.8,0.02,0.0007,7,0.0001,0.332251269
15IC,m,I,15,15blank6_1,16.5869751,3.6,10.211,0.008,0.21,0.61,0.042868605,0.278925755,15IC,026D,51.59,44.77,0.51,92.54670225,0.0179,6.82,0.053,3.6,0.02,0.0052,8,0.00065,0.347710239
15IG,m,I,15,15blank1_2,2.943443858,2.6,10.211,0.0055,0.1,0.61,0.033830147,0.547057545,15IG,032C,38.72,29.61,0.88,90.37827863,0.0149,9.1,0.053,2.6,0.01,-0.0009,8,-0.0001125,0.642729315
15IK,m,I,15,15blank6_1,16.5869751,1.9,10.211,0.0062,0.16,0.61,0.0000248,0.809673554,15IK,034C,42.37,33.29,0.69,92.35414027,0.012,9.08,0.053,1.9,0.01,0.0011,8,0.0001375,0.876732009
15IL,f,I,15,15blank2_2,10.47263945,2.1,10.211,0.005,0.25,0.61,0.068740583,0.670180533,15IL,052B,40.9,31.82,0.63,93.06890364,0.0105,9.08,0.053,2.1,0.01,0.0008,8,0.0001,0.793950597
15IM,m,I,15,15blank1_2,2.943443858,1.8,10.211,0.0059,0.09,0.61,0.04407065,0.535624094,15IM,031D,38.21,32.12,0.41,93.32206117,0.0107,6.09,0.053,1.8,0.01,0.0007,8,0.0000875,0.621176534
18_2IG,m,I,18,18_2_18_2Blank2_1,2.449133617,4,9.503,0.0054,0.07,0.44,0.019026814,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0199,6.27,0.05612,4,0.02,0.0038,9,0.000422222,0.287650973
18_2IJ,m,I,18,18_2_18_2Blank1_1,1.233130213,2.5,9.503,0.0054,0.04,0.44,0.018424699,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0163,8.52,0.05612,2.5,0.02,0.0011,9,0.000122222,0.625516982
18_2IL,f,I,18,18_2_18_2Blank2_1,2.449133617,4.4,9.503,0.0058,0.1,0.44,0.030666779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,8.5,0.05612,4.4,0.02,0.0024,9,0.000266667,0.354423005
18IB,m,I,18,18_18Blank_1,0.599438298,3.7,9.503,0.0064,0.13,0.44,0.063335922,0.307307114,18ID,048F,36.78,28.84,0.46,94.17540587,0.0198,7.93,0.05612,3.7,0.02,0.0013,9,0.000144444,0.393566698
18IC,f,I,18,18_18Blank_2,2.765979574,1.5,9.503,0.0066,0.04,0.44,0.023081051,0.625271266,18IC,041F,32.22,26.14,0.78,87.1664528,0.01,6.08,0.05612,1.5,0.01,-0.0008,9,-8.88889E-05,0.743809454
18IJ,m,I,18,18_18Blank_2,2.765979574,1.7,9.503,0.0064,0.04,0.44,0.024722107,0.831594162,18IJ,002C,43.76,34.58,1.24,86.44627559,0.0104,9.17,0.05612,1.7,0.01,-0.0011,9,-0.000122222,0.990576244
18IK,m,I,18,18_18Blank_2,2.765979574,2.4,9.503,0.0066,0.06,0.44,0.030155894,0.722445565,18IK,064C,41.23,30.07,1.32,88.18305644,0.0172,11.16,0.05612,2.4,0.01,-0.0025,9,-0.000277778,0.853453588
18IM,m,I,18,18_18Blank_1,0.599438298,3.1,9.503,0.0062,0.07,0.44,0.041235122,0.491066054,18IM,045D,47.33,37.12,1.22,88.08826267,0.016,10.21,0.05612,3.1,0.01,-0.0013,9,-0.000144444,0.604281615
18IN,f,I,18,18_18Blank_1,0.599438298,1.7,9.503,0.0062,0.05,0.44,0.051038047,0.368907651,18IN,017F,47.24,40.71,2.64,59.55899242,0.0104,6.53,0.05612,1.7,0.01,-0.0011,9,-0.000122222,0.705092012
03UB,m,U,3,03BLANK4_1,0.179932331,2.2,13.295,0.007,0,0.44,0.000193373,0.498621848,3UB,028B,39.12,32.46,0.68,89.73404575,0.0161,6.66,0.06612,2.2,0.02,0.0006,10,0.00006,0.555881792
03UC,f,U,3,03BLANK3_1,-1.088406997,2.2,13.295,0.0068,0,0.44,0.00826227,0.409992097,3UC,029E,40.37,33.85,1.51,76.84242796,0.0159,6.52,0.06612,2.2,0.01,-0.0013,10,-0.00013,0.544301342
03UE,m,U,3,03BLANK2_1,1.115580451,2.3,13.295,0.0068,0.01,0.44,0.004386475,0.692302577,3UE,026F,71.77,61.45,1.59,84.57678186,0.0163,10.32,0.06612,2.3,0.02,-0.0004,10,-0.00004,0.823735589
03UH,m,U,3,03BLANK3_1,-1.088406997,2.6,13.295,0.008,0,0.44,0.009774711,0.51645721,3UH,030A,40.34,30.78,2.11,77.97525027,0.0136,9.56,0.06612,2.6,0.02,0.005,10,0.0005,0.674870448
03UI,m,U,3,03BLANK4_1,0.179932331,1.7,13.295,0.007,0,0.44,0.000245895,0.860237443,3UI,030C,40.41,31.09,1.34,85.58710453,0.0122,9.31,0.06612,1.7,0.01,0.0021,10,0.00021,1.005389005
03UJ,m,U,3,03BLANK3_1,-1.088406997,2.2,13.295,0.0085,0.01,0.44,0.018348384,0.388993414,3UJ,067B,37.05,30.82,1.35,78.37924613,0.0155,6.23,0.06612,2.2,0.02,1.38778E-17,10,1.38778E-18,0.519706195
03UK,m,U,3,03BLANK3_1,-1.088406997,2.3,13.295,0.0084,0,0.13,0.022082256,0.192083325,3UK,028D,43.37,39.98,0.7,79.29852554,0.0129,3.38,0.06612,2.3,0.01,0.0009,10,0.00009,0.270075111
