,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
203,jI44,12,f,I,,,16,50
204,jI44,15,f,I,,,16,60
205,jI44,18,f,I,,,19,0
206,jI45,3,m,I,,,35,0
207,jI45,6,m,I,,,41,70
208,jI45,9,m,I,,,20,30
209,jI45,12,m,I,,,24,30
210,jI45,15,m,I,1,1,16,60
211,jI45,18,m,I,,,19,70
212,jI46,6,m,I,,,13,0
213,jI46,9,m,I,1,1,10,#N/A
214,jI46,12,m,I,,,24,30
215,jI47,3,m,I,,,36,40
216,jI47,6,m,I,1,1,10,20
217,jI47,9,m,I,,,30,30
218,jI47,12,m,I,,,24,30
219,jI47,15,m,I,,,18,40
220,jI47,18,m,I,,,10,30
221,jI48,6,f,I,,,28,80
222,jI48,9,f,I,,,19,#N/A
223,jI48,12,f,I,1,1,14,60
224,jI49,6,f,I,1,1,10,100
225,jI49,12,f,I,,,10,#N/A
231,jI5,18,m,I,,,#N/A,70
226,jI5,3,m,I,,,26,40
227,jI5,6,m,I,1,1,18,50
228,jI5,9,m,I,,,23,#N/A
229,jI5,12,m,I,,,14,40
230,jI5,15,m,I,,,26,40
232,jI50,3,m,I,,,25,60
233,jI50,6,m,I,,,32,90
234,jI50,9,m,I,,,25,50
235,jI50,12,m,I,,,29,90
236,jI50,15,m,I,1,1,24,70
237,jI50,18,m,I,,,10,70
238,jI51,3,f,I,,,11,60
239,jI51,6,f,I,1,1,16,0
240,jI51,9,f,I,,,13,10
241,jI51,12,f,I,,,28,40
242,jI51,15,f,I,,,22,70
243,jI51,18,f,I,,,30,0
244,jI52,3,m,I,,,28,40
245,jI52,6,m,I,,,10,30
246,jI52,9,m,I,,,11,50
247,jI52,12,m,I,,,24,60
248,jI52,15,m,I,,,17,40
249,jI52,18,m,I,1,1,14,60
250,jI53,6,f,I,,,10,90
251,jI53,9,f,I,,,10,#N/A
252,jI53,12,f,I,1,1,37,70
253,jI54,3,f,I,,,17,80
