gammarus,filter_id,inf_status,leaf_id,temp,dw_initial,dw_final,poop_weight,Expr1,efficiency
15IM,15IM,I,031D,15,38.21,32.12,0.41,5.6849,93.32206117
15IL,15IL,I,052B,15,40.90,31.82,0.63,8.4541,93.06890364
15IK,15IK,I,034C,15,42.37,33.29,0.69,8.3816,92.35414027
15II,15II,I,001E,15,36.53,28.91,0.75,6.8801,90.18469242
15IG,15IG,I,032C,15,38.72,29.61,0.88,8.2284,90.37827863
15IC,15IC,I,026D,15,51.59,44.77,0.51,6.3115,92.54670225
15UO,15UO,U,022C,15,49.04,40.15,0.33,8.5603,96.3303475
15UA,15UA,U,052D,15,45.38,40.10,0.13,5.1461,97.47878466
15UM,15UM,U,052F,15,44.24,33.87,0.73,9.6312,92.91950874
15UE,15UE,U,027B,15,30.53,27.14,1.28,2.1123,62.18316701
15UC,15UC,U,032F,15,37.77,28.98,0.42,8.3712,95.18351753
15UB,15UB,U,053A,15,49.98,35.99,0.85,13.1341,93.89346811
18IB,18ID,I,048F,18,36.78,28.84,0.46,7.4715,94.17540587
18IN,18IN,I,017F,18,47.24,40.71,2.64,3.8895,59.55899242
18IM,18IM,I,045D,18,47.33,37.12,1.22,8.9902,88.08826267
18IK,18IK,I,064C,18,41.23,30.07,1.32,9.8407,88.18305644
18IC,18IC,I,041F,18,32.22,26.14,0.78,5.2985,87.1664528
18UN,18UN,U,058D,18,37.51,26.66,1.82,9.0275,83.20123131
18UF,18UF,U,036A,18,47.01,38.92,1.10,6.9911,86.3557197
18UA,18UA,U,058C,18,37.02,25.98,2.62,8.4196,76.28591362
18IJ,18IJ,I,002C,18,43.76,34.58,1.24,7.9311,86.44627559
